app_ts,sensor_ts,x,y,z,accuracy
0.02,1471038.966,0.12078,0.03375,0.04451,3
0.021,1471038.976,0.09357,-0.01583,0.03426,3
0.021,1471038.986,0.06767,-0.09179,0.02485,3
0.021,1471038.996,0.04267,-0.18103,0.02047,3
0.041,1471039.006,0.02864,-0.25649,0.02367,3
0.041,1471039.016,0.02105,-0.31479,0.02515,3
0.078,1471039.026,0.02466,-0.33699,0.02269,3
0.078,1471039.036,0.02721,-0.32608,0.01342,3
0.078,1471039.046,0.03499,-0.28702,0.00244,3
0.078,1471039.056,0.05374,-0.23923,-0.00504,3
0.086,1471039.066,0.06733,-0.18226,-0.00332,3
0.096,1471039.075,0.08432,-0.12411,0.00262,3
0.106,1471039.085,0.09788,-0.07145,0.01316,3
0.116,1471039.095,0.10629,-0.03285,0.02014,3
0.126,1471039.105,0.10554,-0.00414,0.03004,3
0.136,1471039.115,0.09645,0.00799,0.03805,3
0.146,1471039.125,0.08397,0.00634,0.04018,3
0.156,1471039.135,0.06566,-0.00457,0.04273,3
0.166,1471039.145,0.04801,-0.02398,0.04913,3
0.176,1471039.155,0.03314,-0.0481,0.05582,3
0.186,1471039.165,0.02194,-0.06554,0.05418,3
0.196,1471039.175,0.00412,-0.0748,0.05138,3
0.206,1471039.185,-0.01627,-0.07697,0.04402,3
0.216,1471039.195,-0.02761,-0.0795,0.0362,3
0.225,1471039.204,-0.03869,-0.08418,0.03384,3
0.236,1471039.214,-0.03859,-0.08395,0.03135,3
0.245,1471039.224,-0.03074,-0.08276,0.03018,3
0.259,1471039.234,-0.02122,-0.08048,0.03114,3
0.265,1471039.244,-0.00782,-0.07288,0.02754,3
0.277,1471039.254,0.00583,-0.06508,0.02508,3
0.286,1471039.264,0.01721,-0.05948,0.0226,3
0.296,1471039.274,0.02285,-0.04955,0.02089,3
0.308,1471039.284,0.02602,-0.05444,0.02004,3
0.316,1471039.294,0.02649,-0.05629,0.01663,3
0.325,1471039.304,0.02435,-0.05072,0.0115,3
0.334,1471039.314,0.02023,-0.04737,0.00819,3
0.345,1471039.324,0.01719,-0.04088,0.0086,3
0.36,1471039.334,0.01508,-0.03375,0.01524,3
0.377,1471039.343,0.00862,-0.02445,0.02105,3
0.377,1471039.353,-0.0004,-0.01742,0.02215,3
0.384,1471039.363,-0.00763,-0.01873,0.02059,3
0.394,1471039.373,-0.01281,-0.02032,0.01583,3
0.403,1471039.383,-0.01904,-0.02824,0.01025,3
0.414,1471039.393,-0.02756,-0.02761,0.00675,3
0.425,1471039.403,-0.03492,-0.02691,0.00752,3
0.437,1471039.413,-0.0469,-0.03374,0.00658,3
0.443,1471039.423,-0.05979,-0.03297,0.00813,3
0.453,1471039.433,-0.07447,-0.03665,0.01009,3
0.463,1471039.443,-0.09521,-0.05131,0.01307,3
0.473,1471039.453,-0.1198,-0.06943,0.01457,3
0.483,1471039.463,-0.14144,-0.08769,0.01599,3
0.493,1471039.472,-0.1601,-0.10627,0.01887,3
0.505,1471039.482,-0.17521,-0.1154,0.02084,3
0.515,1471039.492,-0.1868,-0.12367,0.0221,3
0.524,1471039.502,-0.19745,-0.12088,0.02162,3
0.533,1471039.512,-0.20396,-0.11545,0.01979,3
0.543,1471039.522,-0.20511,-0.10704,0.01649,3
0.553,1471039.532,-0.19401,-0.09863,0.0136,3
0.563,1471039.542,-0.18118,-0.08592,0.01101,3
0.573,1471039.552,-0.17127,-0.07545,0.00295,3
0.583,1471039.562,-0.15314,-0.06566,-0.00086,3
0.593,1471039.572,-0.13347,-0.05096,-0.00424,3
0.603,1471039.582,-0.11444,-0.02813,-0.00367,3
0.613,1471039.592,-0.09798,-0.01292,-0.00298,3
0.622,1471039.602,-0.08344,0.00363,0.00089,3
0.633,1471039.611,-0.0729,0.00831,0.00569,3
0.642,1471039.621,-0.06245,0.01396,0.00668,3
0.653,1471039.631,-0.06329,0.00654,0.00819,3
0.662,1471039.641,-0.06929,-0.00948,0.00487,3
0.672,1471039.651,-0.08414,-0.0251,0.00398,3
0.683,1471039.661,-0.10552,-0.04498,-0.00019,3
0.692,1471039.671,-0.12692,-0.06774,-0.00353,3
0.702,1471039.681,-0.14427,-0.08276,-0.00754,3
0.712,1471039.691,-0.16301,-0.09029,-0.00737,3
0.722,1471039.701,-0.16874,-0.08474,-0.00831,3
0.732,1471039.711,-0.16994,-0.08357,-0.00845,3
0.742,1471039.721,-0.16821,-0.08245,-0.00712,3
0.752,1471039.731,-0.15795,-0.07093,-0.00817,3
0.762,1471039.741,-0.13755,-0.05814,-0.01269,3
0.774,1471039.75,-0.12481,-0.05206,-0.01438,3
0.782,1471039.76,-0.11085,-0.04667,-0.0145,3
0.791,1471039.77,-0.10069,-0.03379,-0.01571,3
0.801,1471039.78,-0.08873,-0.02395,-0.01831,3
0.811,1471039.79,-0.07819,-0.02641,-0.01424,3
0.821,1471039.8,-0.06355,-0.03388,-0.00644,3
0.831,1471039.81,-0.05128,-0.0407,0.0,3
0.841,1471039.82,-0.04636,-0.03812,0.00609,3
0.851,1471039.83,-0.04328,-0.02215,0.00782,3
0.861,1471039.84,-0.04091,-0.01574,0.01114,3
0.87,1471039.85,-0.03965,-0.01695,0.01536,3
0.881,1471039.86,-0.0418,-0.01733,0.01391,3
0.89,1471039.87,-0.04367,-0.01759,0.00979,3
0.9,1471039.879,-0.04527,-0.02222,0.00592,3
0.91,1471039.889,-0.04578,-0.02981,0.00271,3
0.92,1471039.899,-0.04175,-0.02728,-0.00265,3
0.931,1471039.909,-0.03286,-0.01876,-0.0075,3
0.94,1471039.919,-0.02836,-0.01646,-0.00834,3
0.95,1471039.929,-0.02011,-0.01,-0.00976,3
0.96,1471039.939,-0.01857,0.00077,-0.01309,3
0.97,1471039.949,-0.0188,0.01072,-0.0144,3
0.98,1471039.959,-0.01962,0.01684,-0.01384,3
0.989,1471039.969,-0.02421,0.01616,-0.01021,3
0.999,1471039.979,-0.03241,0.01018,-0.00637,3
1.01,1471039.989,-0.03859,0.00171,-0.00492,3
1.024,1471039.999,-0.04552,-0.01025,-0.00234,3
1.029,1471040.009,-0.04852,-0.02119,-0.00119,3
1.04,1471040.018,-0.04637,-0.03693,0.00024,3
1.051,1471040.028,-0.03807,-0.03759,-0.00311,3
1.059,1471040.038,-0.03402,-0.03379,-0.00602,3
1.07,1471040.048,-0.02515,-0.02299,-0.01237,3
1.081,1471040.058,-0.02108,-0.00852,-0.0134,3
1.089,1471040.068,-0.01845,0.00984,-0.01148,3
1.099,1471040.078,-0.01892,0.02272,-0.00881,3
