app_ts,sensor_ts,light,accuracy
0.236,1471039.218,0.0,3
0.584,1471039.565,0.0,3
0.932,1471039.913,0.0,3
1.284,1471040.26,0.0,3
1.626,1471040.608,1.0,3
1.974,1471040.955,0.0,3
2.322,1471041.303,0.0,3
2.67,1471041.65,0.0,3
3.016,1471041.997,0.0,3
3.371,1471042.345,1.0,3
3.711,1471042.692,1.0,3
4.06,1471043.04,1.0,3
4.407,1471043.387,0.0,3
4.754,1471043.734,1.0,3
5.102,1471044.082,0.0,3
5.47,1471044.429,0.0,3
5.796,1471044.777,1.0,3
6.146,1471045.124,1.0,3
6.494,1471045.472,1.0,3
6.838,1471045.819,1.0,3
7.186,1471046.166,0.0,3
7.534,1471046.514,1.0,3
7.881,1471046.861,0.0,3
8.233,1471047.209,0.0,3
