app_ts,sensor_ts,x,y,z,accuracy
0.02,1471038.97,14.6875,-3.4375,-41.875,3
0.02,1471038.98,14.5625,-3.625,-41.75,3
0.021,1471038.99,14.5,-3.8125,-41.75,3
0.021,1471039.0,14.5625,-4.0,-41.8125,3
0.024,1471039.01,14.5,-4.0,-41.875,3
0.041,1471039.019,14.5,-4.0,-41.75,3
0.077,1471039.029,14.25,-4.25,-41.5625,3
0.078,1471039.039,14.0,-4.5625,-41.375,3
0.078,1471039.049,13.6875,-4.5625,-41.3125,3
0.078,1471039.059,13.75,-4.625,-41.4375,3
0.084,1471039.069,13.8125,-4.5625,-41.5,3
0.094,1471039.079,13.9375,-4.375,-41.5,3
0.104,1471039.089,13.875,-4.125,-41.1875,3
0.114,1471039.099,13.6875,-4.0,-41.0625,3
0.123,1471039.109,13.5625,-4.0,-40.875,3
0.133,1471039.119,13.6875,-4.1875,-41.0625,3
0.144,1471039.129,14.0,-4.125,-41.0625,3
0.153,1471039.139,14.0625,-4.125,-41.125,3
0.163,1471039.149,13.9375,-4.125,-41.125,3
0.173,1471039.158,13.9375,-4.125,-41.0,3
0.183,1471039.168,13.75,-4.25,-41.0,3
0.193,1471039.178,13.375,-4.1875,-41.25,3
0.203,1471039.188,13.6875,-4.25,-41.625,3
0.213,1471039.198,13.8125,-4.25,-41.6875,3
0.223,1471039.208,13.6875,-4.1875,-42.0625,3
0.233,1471039.218,13.6875,-4.0625,-42.3125,3
0.243,1471039.228,13.5625,-4.1875,-42.125,3
0.253,1471039.238,13.625,-4.125,-42.0625,3
0.264,1471039.248,13.6875,-4.125,-42.125,3
0.273,1471039.258,13.5625,-4.0,-42.125,3
0.283,1471039.268,13.625,-4.0,-42.125,3
0.292,1471039.278,13.3125,-4.125,-42.0625,3
0.303,1471039.288,13.3125,-4.0,-42.3125,3
0.313,1471039.297,13.1875,-4.0625,-41.9375,3
0.322,1471039.307,13.25,-4.1875,-41.9375,3
0.332,1471039.317,13.375,-4.0,-42.0625,3
0.342,1471039.327,13.375,-4.125,-42.25,3
0.36,1471039.337,13.125,-4.1875,-42.25,3
0.362,1471039.347,13.25,-4.25,-42.3125,3
0.377,1471039.357,13.375,-4.3125,-42.25,3
0.382,1471039.367,13.375,-4.3125,-42.1875,3
0.392,1471039.377,13.1875,-4.5,-42.0625,3
0.402,1471039.387,13.1875,-4.375,-42.0625,3
0.411,1471039.397,13.0,-4.3125,-41.6875,3
0.421,1471039.407,12.9375,-4.3125,-41.625,3
0.436,1471039.417,12.75,-4.3125,-41.5625,3
0.441,1471039.426,12.875,-4.0625,-41.6875,3
0.451,1471039.436,12.5625,-3.875,-41.5625,3
0.461,1471039.446,12.5625,-3.8125,-41.5,3
0.471,1471039.456,12.5625,-3.75,-41.4375,3
0.481,1471039.466,12.5625,-3.625,-41.4375,3
0.491,1471039.476,12.625,-3.625,-41.6875,3
0.501,1471039.486,12.4375,-3.5625,-41.9375,3
0.511,1471039.496,12.5,-3.6875,-41.9375,3
0.52,1471039.506,12.625,-3.375,-42.0,3
0.53,1471039.516,12.4375,-3.5,-42.0625,3
0.54,1471039.526,12.4375,-3.5625,-42.125,3
0.55,1471039.536,12.5,-3.5625,-42.3125,3
0.56,1471039.546,12.6875,-3.3125,-42.5,3
0.57,1471039.556,12.5,-3.375,-42.5,3
0.58,1471039.565,12.375,-3.25,-42.375,3
0.59,1471039.575,12.625,-3.1875,-42.3125,3
0.6,1471039.585,12.4375,-3.0,-42.4375,3
0.609,1471039.595,12.375,-3.125,-42.375,3
0.62,1471039.605,12.5625,-3.0625,-42.3125,3
0.63,1471039.615,12.75,-3.125,-42.125,3
0.64,1471039.625,12.6875,-3.0,-42.125,3
0.65,1471039.635,12.4375,-3.125,-42.125,3
0.66,1471039.645,12.75,-2.9375,-42.3125,3
0.67,1471039.655,12.625,-2.875,-42.4375,3
0.68,1471039.665,12.4375,-3.0625,-42.5,3
0.69,1471039.675,12.6875,-3.0625,-42.5625,3
0.7,1471039.685,12.625,-2.875,-42.4375,3
0.709,1471039.694,12.625,-2.8125,-42.25,3
0.719,1471039.704,12.625,-2.625,-42.375,3
0.729,1471039.714,12.625,-2.5,-42.25,3
0.739,1471039.724,12.75,-2.25,-42.25,3
0.749,1471039.734,12.6875,-2.1875,-42.0625,3
0.759,1471039.744,12.8125,-2.25,-42.125,3
0.768,1471039.754,12.8125,-1.9375,-42.0625,3
0.78,1471039.764,12.5,-2.0,-42.0,3
0.789,1471039.774,12.5625,-2.0,-42.125,3
0.798,1471039.784,12.5,-1.8125,-42.3125,3
0.809,1471039.794,12.375,-1.875,-42.25,3
0.818,1471039.804,12.375,-2.0,-42.375,3
0.828,1471039.814,12.4375,-2.0625,-42.25,3
0.838,1471039.824,12.4375,-2.125,-42.5625,3
0.848,1471039.833,12.375,-1.9375,-42.4375,3
0.858,1471039.843,12.375,-2.0625,-42.3125,3
0.868,1471039.853,12.625,-1.75,-42.5,3
0.878,1471039.863,12.625,-1.875,-42.375,3
0.888,1471039.873,12.625,-2.0,-42.3125,3
0.898,1471039.883,12.6875,-2.0,-42.3125,3
0.908,1471039.893,12.625,-2.0,-42.25,3
0.918,1471039.903,12.5,-2.125,-42.4375,3
0.927,1471039.913,12.625,-2.0,-42.375,3
0.938,1471039.923,12.5,-2.0,-42.375,3
0.948,1471039.933,12.3125,-1.9375,-42.375,3
0.957,1471039.943,12.1875,-2.0,-42.0625,3
0.967,1471039.953,12.0,-1.9375,-42.0625,3
0.977,1471039.962,11.8125,-1.875,-42.0625,3
0.987,1471039.972,11.6875,-1.875,-42.0625,3
0.997,1471039.982,11.8125,-1.75,-41.9375,3
1.007,1471039.992,11.9375,-1.625,-41.75,3
1.017,1471040.002,11.875,-1.5625,-41.625,3
1.027,1471040.012,12.0625,-1.6875,-41.6875,3
1.039,1471040.022,12.375,-1.625,-41.6875,3
1.048,1471040.032,12.5,-1.6875,-41.9375,3
1.057,1471040.042,12.6875,-1.625,-42.125,3
1.067,1471040.052,12.8125,-1.625,-42.25,3
1.077,1471040.062,12.9375,-1.5625,-42.4375,3
1.086,1471040.072,13.0,-1.6875,-42.375,3
1.096,1471040.082,12.75,-1.6875,-42.5625,3
1.106,1471040.092,12.625,-1.8125,-42.4375,3
1.116,1471040.101,12.6875,-1.6875,-42.5625,3
1.126,1471040.111,12.5625,-1.6875,-42.6875,3
1.136,1471040.121,12.4375,-1.5625,-42.75,3
1.146,1471040.131,12.3125,-1.5625,-42.9375,3
1.156,1471040.141,12.3125,-1.75,-42.8125,3
1.166,1471040.151,12.1875,-1.625,-42.875,3
1.176,1471040.161,12.0,-1.5625,-42.875,3
1.186,1471040.171,12.0625,-1.4375,-42.8125,3
