app_ts,sensor_ts,sound_level,frequency,accuracy
0.172,204.2,0.00623,49.87,0
0.502,294.85,0.009,53.06,0
0.613,169.85,0.00518,48.27,0
0.944,300.98,0.00919,53.24,0
1.165,99.76,0.00304,43.65,0
1.496,101.07,0.00308,43.76,0
1.608,277.22,0.00846,52.53,0
1.938,142.53,0.00435,46.75,0
2.159,216.4,0.0066,50.38,0
2.489,181.16,0.00553,48.83,0
2.6,140.6,0.00429,46.63,0
2.931,158.68,0.00484,47.68,0
3.152,313.47,0.00957,53.59,0
3.482,501.18,0.0153,57.67,0
3.594,230.92,0.00705,50.94,0
4.033,136.43,0.00416,46.37,0
4.144,125.32,0.00382,45.63,0
4.475,137.93,0.00421,46.46,0
4.585,164.57,0.00502,48.0,0
5.046,95.95,0.00293,43.31,0
5.137,201.68,0.00616,49.76,0
5.471,139.84,0.00427,46.58,0
5.689,154.2,0.00471,47.43,0
6.02,187.59,0.00572,49.13,0
6.13,450.25,0.01374,56.74,0
6.462,362.21,0.01105,54.85,0
6.684,1087.67,0.03319,64.4,0
7.017,578.07,0.01764,58.91,0
7.124,372.1,0.01136,55.08,0
7.462,531.8,0.01623,58.19,0
7.674,1123.4,0.03428,64.68,0
8.005,972.97,0.02969,63.43,0
8.115,1103.22,0.03367,64.52,0
